City_ID,   Lat    ,   Lng    ,  Date    , Humidity , Max Temp ,City,Cloudiness,Country   ,Wind Speed
0,-46.19,168.86,03-24-2018,91,49.99,mataura,44,NZ,3.71
1,-33.64,115.35,03-24-2018,100,67.94,busselton,92,AU,15.79
2,39.31,-74.98,03-24-2018,83,24.88,port elizabeth,0,US,10.09
3,-7.71,-67.0,03-24-2018,98,73.34,pauini,80,BR,3.15
4,59.7,30.79,03-24-2018,95,24.29,nikolskoye,76,RU,7.4
5,19.71,-155.08,03-24-2018,100,71.95,hilo,88,US,14.56
6,-5.13,-49.33,03-24-2018,100,73.66,itupiranga,92,BR,2.71
7,-38.31,-60.23,03-24-2018,86,52.78,barrow,0,AR,8.86
8,-23.12,-134.97,03-24-2018,100,80.14,rikitea,24,PF,13.78
9,42.65,-73.75,03-24-2018,69,28.88,albany,64,US,5.28
10,-25.17,45.06,03-24-2018,40,96.34,beloha,0,MG,5.28
11,62.45,-114.38,03-24-2018,84,6.97,yellowknife,80,CA,18.14
12,-42.88,147.33,03-24-2018,97,57.1,hobart,68,AU,1.59
13,30.78,78.62,03-24-2018,48,61.87,lata,0,IN,1.92
14,49.29,21.28,03-24-2018,67,34.64,bardejov,0,SK,2.71
15,-33.21,138.6,03-24-2018,28,84.01,jamestown,48,AU,14.79
16,37.75,23.53,03-24-2018,83,57.28,ayia marina,0,GR,8.52
17,-41.43,147.14,03-24-2018,97,59.35,launceston,92,AU,10.2
18,52.71,118.82,03-24-2018,31,53.18,ust-karsk,0,RU,8.75
19,77.48,-69.36,03-24-2018,83,-27.15,qaanaaq,0,GL,4.83
20,-0.6,73.08,03-24-2018,100,83.83,hithadhoo,88,MV,11.65
21,52.86,-102.4,03-24-2018,84,29.83,hudson bay,88,CA,8.3
22,60.79,-161.76,03-24-2018,80,18.67,bethel,8,US,8.19
23,63.75,-68.52,03-24-2018,67,-15.09,iqaluit,24,CA,4.61
24,-0.74,-90.35,03-24-2018,100,77.84,puerto ayora,0,EC,6.06
25,28.06,95.33,03-24-2018,99,60.88,pasighat,92,IN,1.92
26,-42.48,-73.76,03-24-2018,100,40.27,castro,0,CL,5.17
27,-54.81,-68.31,03-24-2018,100,27.13,ushuaia,0,AR,4.94
28,54.64,32.87,03-24-2018,99,27.89,glinka,8,RU,8.3
29,10.24,-61.45,03-24-2018,78,76.81,esperance,76,TT,4.27
30,-46.43,-67.52,03-24-2018,84,44.59,mar del plata,0,AR,15.23
31,-9.8,-139.03,03-24-2018,98,82.66,atuona,0,PF,18.25
32,-24.25,-48.51,03-24-2018,94,62.68,elias,0,BR,2.93
33,68.75,161.3,03-24-2018,72,-6.45,cherskiy,64,RU,6.51
34,14.29,120.72,03-24-2018,64,82.93,ternate,0,PH,20.27
35,-21.21,-159.78,03-24-2018,100,77.89,avarua,68,CK,10.42
36,24.09,32.9,03-24-2018,14,101.11,aswan,8,EG,8.19
37,10.07,34.53,03-24-2018,22,94.18,asosa,36,ET,5.06
38,-3.36,135.5,03-24-2018,99,69.56,nabire,80,ID,0.81
39,72.79,-56.15,03-24-2018,100,-12.03,upernavik,44,GL,2.59
40,64.42,-173.23,03-24-2018,90,25.42,provideniya,12,RU,15.35
41,43.82,-111.79,03-24-2018,85,33.11,rexburg,80,US,7.85
42,55.74,-97.86,03-24-2018,74,21.23,thompson,76,CA,8.97
43,20.87,-90.4,03-24-2018,100,74.74,celestun,0,MX,20.04
44,69.7,170.27,03-24-2018,77,-0.87,pevek,56,RU,9.64
45,-34.53,20.04,03-24-2018,89,65.96,bredasdorp,92,ZA,9.53
46,69.01,23.04,03-24-2018,91,15.25,kautokeino,68,NO,3.38
47,52.47,1.45,03-24-2018,95,44.59,broome,88,GB,4.94
48,48.95,-57.95,03-24-2018,89,29.96,corner brook,92,CA,17.25
49,56.01,8.13,03-24-2018,98,40.0,hvide sande,44,DK,6.73
50,3.07,172.79,03-24-2018,100,81.08,butaritari,32,KI,14.23
51,70.47,-68.59,03-24-2018,55,-32.19,clyde river,12,CA,4.94
52,15.34,74.49,03-24-2018,24,95.98,vaini,0,IN,3.49
53,-33.93,18.42,03-24-2018,90,63.49,cape town,80,ZA,6.29
54,8.96,38.73,03-24-2018,28,74.69,lebu,36,ET,3.71
55,-8.93,125.41,03-24-2018,86,74.24,airai,68,TL,1.14
56,53.71,37.29,03-24-2018,100,27.85,plavsk,64,RU,4.72
57,17.01,54.1,03-24-2018,100,78.29,salalah,0,OM,5.17
58,35.81,51.01,03-24-2018,65,52.28,karaj,0,IR,2.82
59,-22.21,29.99,03-24-2018,71,78.43,beitbridge,24,ZA,8.97
60,43.74,-81.71,03-24-2018,83,21.23,goderich,0,CA,11.43
61,60.72,-46.03,03-24-2018,100,14.8,qaqortoq,0,GL,29.33
62,29.18,74.77,03-24-2018,43,87.83,nohar,0,IN,8.63
63,60.15,-1.15,03-24-2018,99,43.46,lerwick,88,GB,26.53
64,62.1,126.7,03-24-2018,62,22.0,berdigestyakh,24,RU,7.74
65,0.53,72.93,03-24-2018,100,84.73,thinadhoo,12,MV,9.31
66,-20.63,-46.0,03-24-2018,97,66.46,ponta do sol,80,BR,9.98
67,-30.17,-50.22,03-24-2018,95,73.43,cidreira,76,BR,7.4
68,30.3,-99.24,03-24-2018,67,68.08,harper,0,US,13.67
69,10.99,-74.96,03-24-2018,86,78.52,puerto colombia,12,CO,15.35
70,-35.17,173.16,03-24-2018,100,61.78,ahipara,92,NZ,4.83
71,59.09,57.8,03-24-2018,89,18.76,severnyy-kospashskiy,80,RU,11.99
72,66.83,70.83,03-24-2018,86,-9.87,yar-sale,0,RU,8.08
73,22.57,59.53,03-24-2018,76,81.04,sur,0,OM,4.61
74,-3.97,29.44,03-24-2018,100,76.99,rumonge,36,BI,4.38
75,-33.69,-53.46,03-24-2018,97,66.91,chuy,76,UY,14.45
76,-53.16,-70.91,03-24-2018,100,40.94,punta arenas,56,CL,12.88
77,-2.57,150.8,03-24-2018,100,81.4,kavieng,48,PG,6.73
78,-14.27,50.17,03-24-2018,100,81.53,sambava,36,MG,16.58
79,58.22,92.49,03-24-2018,89,35.99,lesosibirsk,92,RU,8.08
80,-31.97,141.45,03-24-2018,38,81.26,broken hill,0,AU,6.51
81,63.44,-20.27,03-24-2018,100,30.64,vestmannaeyjar,0,IS,18.48
82,64.9,45.76,03-24-2018,72,17.54,leshukonskoye,48,RU,5.39
83,-26.98,-56.83,03-24-2018,74,79.64,san patricio,88,PY,4.61
84,22.08,-159.32,03-24-2018,100,67.45,kapaa,92,US,4.5
85,45.36,-73.48,03-24-2018,86,24.16,saint-philippe,44,CA,11.88
86,37.72,-25.43,03-24-2018,100,61.6,vila franca do campo,88,PT,9.53
87,55.63,34.3,03-24-2018,96,26.09,novodugino,12,RU,6.85
88,-23.84,151.26,03-24-2018,87,74.74,gladstone,92,AU,14.23
89,51.1,66.31,03-24-2018,92,26.32,derzhavinsk,20,KZ,17.58
